LotNo=8J208472500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTestDate=2023/06/06 AM 09:09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal,Spec,Fmodel,Rmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EquipmentID=AWPRF22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatorID=25370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
538,2.3707,3.3772,41.6,0.9789,938.14,1298.3,445.82,441.11,18.82,3.3772,1298.3,445.82,151,113,1.7824,1.9563,2.1457,1.9238,2.2117,445.59,2.7185,18.92,1.7181,1.4535,2.1457,1298.3,445.82,441.11,2.9391,18.21,3.3772,41.6,41.6,0.9789,0.9789,56.67,70.03,49.35,73.36,30.82,50.2,42.61,61.62,31.7
539,2.137,3.1414,11.6,2.065,1230.64,1125.45,441.94,452.9,21.02,3.1414,1125.45,441.94,152,113,1.952,1.8089,2.2971,1.7602,1.3313,446.17,2.4183,20.15,2.7331,0.7584,2.2971,1125.45,441.94,452.9,2.5426,19.27,3.1414,11.6,11.6,2.065,2.065,64.32,38.47,49.52,41.31,60.35,76.93,50.31,79.42,67.68
540,2.3986,2.9543,16.5,0.897,1018.34,1251.33,452.26,448.84,21.2,2.9543,1251.33,452.26,153,113,1.9125,2.2412,2.2816,2.4753,2.8065,450.85,2.3781,18.19,1.9251,1.383,2.2816,1251.33,452.26,448.84,0.6618,21.3,2.9543,16.5,16.5,0.897,0.897,74.98,56.94,72.07,63.18,63.95,38.94,36.41,50.13,64.06
541,2.0418,3.2817,32.8,0.0102,1302.76,920.1,450.21,450.07,18.78,3.2817,920.1,450.21,103,114,2.2952,1.7611,2.1355,2.3418,2.6263,440.11,2.282,18.15,2.5138,0.4432,2.1355,920.1,450.21,450.07,2.2181,20.75,3.2817,32.8,32.8,0.0102,0.0102,31.4,35.79,60.86,77.29,37.91,63.52,73.38,70.77,62.59
542,1.9676,3.4461,45.4,2.5347,1119.04,1481.68,453.19,446.01,19.37,3.4461,1481.68,453.19,104,114,1.6184,2.0241,1.9866,2.3945,2.5009,456.67,1.8238,20.57,2.674,1.016,1.9866,1481.68,453.19,446.01,1.2718,20.84,3.4461,45.4,45.4,2.5347,2.5347,36.8,33.32,31.66,52.09,34.75,54.96,68.71,66.11,32.47
543,2.2561,3.3456,27.7,0.8997,1452.22,1348.67,443.78,453.52,18.18,3.3456,1348.67,443.78,105,114,1.5221,1.8007,1.6803,2.4972,0.3728,455.54,1.9801,19.24,0.9969,1.8138,1.6803,1348.67,443.78,453.52,2.0652,20.31,3.3456,27.7,27.7,0.8997,0.8997,32.46,69.37,39.32,56.34,40.35,37.49,75.53,39.12,52.9
544,1.6136,3.3649,28.8,1.0136,1295.15,1222.45,453.49,457.89,19.76,3.3649,1222.45,453.49,106,114,2.3946,1.7252,1.6202,1.7385,2.7022,449.48,1.3284,19.41,0.9854,1.4692,1.6202,1222.45,453.49,457.89,1.9819,20.16,3.3649,28.8,28.8,1.0136,1.0136,70.08,39.88,44.6,78.44,65.48,33.17,54.84,61.62,69.42
545,2.3217,3.4943,25.4,2.7709,1236.43,828.16,458.89,450.42,20.04,3.4943,828.16,458.89,107,114,2.3952,1.6378,2.4297,1.5096,0.2552,440.06,2.2775,21.75,1.576,0.2486,2.4297,828.16,458.89,450.42,1.1613,20.2,3.4943,25.4,25.4,2.7709,2.7709,34.64,79.41,42.94,49.2,30.05,53.07,47.17,59.18,75.76
546,1.6653,3.1298,23.3,1.6642,1185,1208.64,448.84,450.26,21.48,3.1298,1208.64,448.84,108,114,2.129,2.0649,1.9091,2.3203,0.2151,448.55,0.2338,20.18,0.9904,0.9901,1.9091,1208.64,448.84,450.26,0.7374,20.33,3.1298,23.3,23.3,1.6642,1.6642,64.59,32.4,73.55,76.09,69.63,57.04,54.65,77.59,50.66
547,1.8125,2.9859,22.5,0.9859,954.65,1065.06,456.08,457.28,21.83,2.9859,1065.06,456.08,109,114,2.1037,2.0206,2.3202,2.4486,0.5227,453.26,1.2842,18.91,1.5643,2.0893,2.3202,1065.06,456.08,457.28,1.2293,21.7,2.9859,22.5,22.5,0.9859,0.9859,64.05,61.58,66.12,49.9,69.45,74.73,33.73,70.29,56.64
548,1.6282,3.4103,11,1.9914,1422.15,1143.44,443.1,454.65,21.17,3.4103,1143.44,443.1,110,114,2.3605,2.2334,2.1599,1.556,1.7656,452.81,2.696,19.73,0.3336,1.8721,2.1599,1143.44,443.1,454.65,0.2113,20.64,3.4103,11,11,1.9914,1.9914,38.92,41.88,62.44,68.53,43.17,67.73,52.84,57.58,66.16
549,2.4312,2.9593,19.6,2.1537,1362.94,1125.19,454.19,450,20.38,2.9593,1125.19,454.19,111,114,2.264,2.0446,2.1432,2.2062,2.1303,449.66,0.9252,20.6,2.088,1.5503,2.1432,1125.19,454.19,450,1.7444,21.48,2.9593,19.6,19.6,2.1537,2.1537,30.92,50.29,79.8,42.76,48.71,55.23,76.14,78.19,43.77
550,1.5246,2.8735,43,2.9312,1247.55,1139.17,459.96,446.73,20.81,2.8735,1139.17,459.96,112,114,1.6736,2.1728,1.7337,1.6757,2.4608,444.1,1.192,20.73,2.7867,2.4681,1.7337,1139.17,459.96,446.73,0.7211,20.64,2.8735,43,43,2.9312,2.9312,34.81,31.92,76.51,49.57,59.24,47,64.29,53.19,60.77
551,2.4035,2.83,35.3,2.6222,842.33,1328.39,443.65,452.11,19.92,2.83,1328.39,443.65,134,114,2.307,2.4074,2.2531,2.3624,1.0371,451.83,2.1055,18.08,1.5046,0.6939,2.2531,1328.39,443.65,452.11,2.466,20.3,2.83,35.3,35.3,2.6222,2.6222,34.12,42.73,62.7,73.68,60.76,39.03,39.17,63.26,77.38
552,1.7231,3.4738,36.4,2.7117,1112.48,1163.34,448.29,456.43,20.83,3.4738,1163.34,448.29,135,114,1.601,2.3719,2.0396,2.0681,1.201,442.34,0.3247,20.14,1.3399,1.3062,2.0396,1163.34,448.29,456.43,1.4338,21.96,3.4738,36.4,36.4,2.7117,2.7117,76.99,61.39,38.77,71.82,58.91,51.56,75.37,78.63,61.88
553,2.4197,3.4363,48.9,0.3153,981.12,1104.14,441.09,455.2,19.18,3.4363,1104.14,441.09,136,114,1.5206,2.4437,2.1792,2.1373,2.1421,451.65,1.3268,21.85,0.1375,0.2797,2.1792,1104.14,441.09,455.2,1.2255,19.78,3.4363,48.9,48.9,0.3153,0.3153,63.42,75.48,59.31,40.64,59.03,50.41,42.87,59.96,49.91
554,1.8483,3.1786,18.8,0.1497,1130.47,895.11,449.97,442.57,20.43,3.1786,895.11,449.97,137,114,1.7317,1.6182,2.287,1.7428,2.0111,445.47,1.7693,21.92,0.0903,0.1079,2.287,895.11,449.97,442.57,1.4524,20.07,3.1786,18.8,18.8,0.1497,0.1497,48.4,58.48,33.09,30.31,45.25,45.85,54,69.7,74.82
555,1.676,3.2417,30.4,0.4709,1252.15,977.51,458.26,450.17,20.7,3.2417,977.51,458.26,138,114,2.3903,1.6129,2.2009,2.0243,0.0471,446.62,0.8571,20.79,2.6198,0.9156,2.2009,977.51,458.26,450.17,1.5471,20.76,3.2417,30.4,30.4,0.4709,0.4709,35.81,67.16,34.26,74.94,53.71,61.84,62.2,39.66,49.66
556,1.8054,3.1564,42.6,0.371,1408.05,1269.96,440.2,445.85,21.19,3.1564,1269.96,440.2,139,114,2.0927,1.9401,2.3725,2.0977,2.2702,453.02,2.2531,19.39,1.2798,1.9292,2.3725,1269.96,440.2,445.85,1.7365,21.91,3.1564,42.6,42.6,0.371,0.371,75.23,59.55,34.98,36.11,73.3,34.75,70.93,35.26,45.02
557,1.948,2.9446,34.4,1.8106,953.71,1371.79,450.19,454.13,21.98,2.9446,1371.79,450.19,140,114,2.0972,1.866,1.9953,2.3172,2.1959,449.46,2.9246,21.12,1.7528,1.519,1.9953,1371.79,450.19,454.13,2.0343,20.55,2.9446,34.4,34.4,1.8106,1.8106,74.71,65.47,44.86,38.66,37.28,75.82,52.76,78.7,78.95
558,2.48,2.9912,42.8,0.4041,1493.98,869.83,449.7,445.69,20.43,2.9912,869.83,449.7,141,114,1.9064,2.2749,1.7385,1.8681,0.6155,455.21,1.6624,20.98,1.8788,1.0269,1.7385,869.83,449.7,445.69,2.8991,18.92,2.9912,42.8,42.8,0.4041,0.4041,78.71,44.96,52.26,39.2,38.16,54.66,60.36,74.39,67.59
559,1.8233,3.3227,16.3,0.474,831.87,1321.32,445.75,451.46,19.75,3.3227,1321.32,445.75,142,114,1.6791,1.7811,2.4703,2.3243,0.9367,442.02,0.6939,20.69,2.575,0.4389,2.4703,1321.32,445.75,451.46,2.1333,19.66,3.3227,16.3,16.3,0.474,0.474,38.11,68.07,43.85,45.73,44.38,67.13,36.72,49.34,72.47
560,2.4114,2.8756,11.1,2.1818,1417.59,1430.88,448.06,447.63,20.97,2.8756,1430.88,448.06,143,114,1.6838,1.6365,1.6714,2.3528,2.2237,450.34,1.9242,20.72,0.9275,2.8651,1.6714,1430.88,448.06,447.63,0.859,19.23,2.8756,11.1,11.1,2.1818,2.1818,77.57,42.51,34.61,47.01,32.13,76.07,39.3,64.32,45.69
561,2.1877,3.0878,48.8,2.6592,1451.41,1209.48,447.45,446.04,19.17,3.0878,1209.48,447.45,144,114,2.3427,2.1051,2.2947,2.3554,1.9812,450.55,2.4512,19.73,0.4488,1.582,2.2947,1209.48,447.45,446.04,1.9971,20.85,3.0878,48.8,48.8,2.6592,2.6592,30.21,39.02,44.11,40.7,50.11,76.36,39.94,75.08,33.51
562,2.2746,3.1754,40,2.6208,1440.19,1027.53,454.55,444.64,19.69,3.1754,1027.53,454.55,145,114,1.6339,2.4132,2.1617,2.2248,1.1239,442.78,1.0946,18.93,0.5422,1.8686,2.1617,1027.53,454.55,444.64,2.2921,21.21,3.1754,40,40,2.6208,2.6208,52.77,74.63,59.89,72.15,51.11,52.59,54.28,36.22,55.78
563,1.6722,2.9431,17.9,1.6452,858.92,1265.42,451.9,449.27,19.19,2.9431,1265.42,451.9,146,114,2.3509,1.7846,2.1398,1.5972,2.1126,457.24,2.1745,21.24,1.4329,0.6797,2.1398,1265.42,451.9,449.27,0.5489,20.35,2.9431,17.9,17.9,1.6452,1.6452,45.54,69.77,53.03,51.06,41.05,41.19,59.98,55.11,47.29
564,2.2729,2.957,37.4,1.2032,1092.24,811.24,449.14,447.26,20.4,2.957,811.24,449.14,147,114,1.6776,2.0389,1.7642,1.8057,2.1633,453.1,0.828,20.84,0.2604,1.1504,1.7642,811.24,449.14,447.26,1.0325,19.48,2.957,37.4,37.4,1.2032,1.2032,65.46,36.75,43.2,78.76,72.34,58.32,79.94,77.11,50.83
565,1.9932,3.1911,25.4,0.2017,891.52,1281.93,447.91,455.52,20.04,3.1911,1281.93,447.91,148,114,2.1834,2.4423,1.8534,2.2086,0.3304,449.57,0.1779,19.2,1.4157,0.8513,1.8534,1281.93,447.91,455.52,1.976,19.27,3.1911,25.4,25.4,0.2017,0.2017,79.78,51.83,49.33,43.47,72.68,38.39,48.35,33.3,67.01
566,1.932,3.1879,31.6,1.2981,814.23,952.49,455.9,451.71,19.83,3.1879,952.49,455.9,149,114,1.5212,2.0024,2.4718,2.479,1.993,458.49,1.1588,19.2,2.2656,0.7831,2.4718,952.49,455.9,451.71,2.3061,21.97,3.1879,31.6,31.6,1.2981,1.2981,56.49,32,79.82,34.75,61.25,45.91,49.19,77.95,34.75
567,1.8748,3.164,23.5,0.6396,965.77,1103.68,447.21,443.56,19.43,3.164,1103.68,447.21,150,114,2.1814,2.0185,1.7738,1.517,0.3979,447.23,2.6868,20.89,1.1718,1.5629,1.7738,1103.68,447.21,443.56,0.47,19.58,3.164,23.5,23.5,0.6396,0.6396,62.36,39.96,37.58,69.49,50.16,35.58,48.8,75.04,44.15
568,2.0193,2.875,49.9,1.0913,978.02,1067.65,445.35,459.64,21.09,2.875,1067.65,445.35,151,114,2.2137,2.4022,2.0351,2.2662,0.3803,443.87,2.2557,19.21,2.2182,0.6815,2.0351,1067.65,445.35,459.64,0.992,18.06,2.875,49.9,49.9,1.0913,1.0913,67.93,66.05,77.81,62.5,75.89,51.01,73.71,59.69,62.45
569,2.24,2.9881,38.2,2.8791,1211.21,938.15,448.33,456.53,20.88,2.9881,938.15,448.33,152,114,1.6109,2.2592,2.3048,2.4734,1.5713,443.05,2.2518,19.25,0.9463,0.4576,2.3048,938.15,448.33,456.53,0.3085,21.53,2.9881,38.2,38.2,2.8791,2.8791,66.82,51.71,68.99,40.9,42.27,60.43,40.24,52.8,57.41
570,2.4733,2.9712,48.4,2.0109,1085.91,1490.71,452.8,443.41,19.21,2.9712,1490.71,452.8,153,114,2.0327,2.1228,1.6409,2.0357,1.1551,455.99,1.5184,19.47,1.8746,1.6783,1.6409,1490.71,452.8,443.41,1.8583,21.1,2.9712,48.4,48.4,2.0109,2.0109,67.37,78.02,75.28,60.62,62.68,49.17,70.23,61.96,77.8
571,2.2981,2.9579,24.4,1.278,981.52,1128.95,453.37,457.11,18.29,2.9579,1128.95,453.37,103,115,1.5766,1.5016,2.3333,1.5057,2.3128,446.45,0.3104,19.93,1.1934,0.4884,2.3333,1128.95,453.37,457.11,1.1305,19.49,2.9579,24.4,24.4,1.278,1.278,43.33,46.41,67.28,50.58,75.2,54.35,41.48,40.36,51.92
572,2.023,3.1942,16.6,2.7523,1380.81,1260.93,444.72,449.48,18.06,3.1942,1260.93,444.72,104,115,1.8092,2.2758,2.0596,2.1464,2.5647,451.73,2.1908,20.52,1.0092,1.447,2.0596,1260.93,444.72,449.48,2.127,18.29,3.1942,16.6,16.6,2.7523,2.7523,34.5,53.75,60.89,39.32,58.22,73.72,73.49,45.11,68.55
573,2.067,2.9156,10.1,1.24,1132.2,1080.11,442.21,454.82,18.38,2.9156,1080.11,442.21,105,115,2.0965,2.4136,1.8757,2.2513,0.1887,459.75,2.9564,21.83,2.0842,2.1824,1.8757,1080.11,442.21,454.82,1.6597,20.08,2.9156,10.1,10.1,1.24,1.24,38.76,76.71,70,50.83,37.09,66.85,75.52,31.73,33.35
574,1.7497,3.3292,43.4,1.4119,1479.75,1437.21,457.32,453.06,19.4,3.3292,1437.21,457.32,106,115,1.7938,2.4943,1.6703,1.5089,2.847,457.64,0.593,21.96,0.5606,1.7109,1.6703,1437.21,457.32,453.06,0.1322,20.89,3.3292,43.4,43.4,1.4119,1.4119,35.87,57.01,78.09,63.32,51.21,53.96,70.02,48.92,41.57
575,1.742,3.4008,39.3,1.0368,1205.45,1157.89,442.67,449.66,20.5,3.4008,1157.89,442.67,107,115,2.4227,1.693,2.2056,1.6169,2.1586,443.51,0.5894,20.95,2.3474,1.6715,2.2056,1157.89,442.67,449.66,0.6403,21.94,3.4008,39.3,39.3,1.0368,1.0368,55.75,56.62,75.29,56.47,76.33,57.28,60.94,40.16,78.59
576,1.5438,3.1032,26.2,0.4633,1098.56,1097.13,450.88,456.57,18.98,3.1032,1097.13,450.88,108,115,1.9982,2.4837,1.9244,2.2457,0.0775,442.14,2.4658,18.96,1.1819,2.089,1.9244,1097.13,450.88,456.57,0.9137,19.74,3.1032,26.2,26.2,0.4633,0.4633,32.56,73.13,34.94,34.77,75.41,36.98,75.38,79.43,39.78
577,2.2768,3.0593,19.7,2.1958,825.1,1219.24,441.12,441.56,19.54,3.0593,1219.24,441.12,109,115,1.6723,1.9861,2.3697,2.2806,0.11,448.96,2.9562,19.49,1.377,2.8556,2.3697,1219.24,441.12,441.56,0.1745,19.7,3.0593,19.7,19.7,2.1958,2.1958,66.99,52.84,70.58,40.44,74,77.88,41.95,56.5,78.04
578,2.0849,3.027,49.9,2.2211,927.29,874.19,447.73,453.94,19.03,3.027,874.19,447.73,110,115,1.7077,1.7592,1.6337,1.593,2.1702,455.49,0.5169,19.71,0.6238,2.9047,1.6337,874.19,447.73,453.94,0.6892,21.82,3.027,49.9,49.9,2.2211,2.2211,61.29,65.63,64.29,78.6,47.07,71.83,42.61,35.62,35.55
579,1.7058,2.8248,16.3,1.1567,932.57,893.97,458.28,451.96,19.02,2.8248,893.97,458.28,111,115,2.4222,1.7303,2.0807,2.3981,2.3857,447.23,1.4784,20.81,2.4573,2.5477,2.0807,893.97,458.28,451.96,0.0347,19.94,2.8248,16.3,16.3,1.1567,1.1567,72.14,69.45,53.67,30.36,77.58,79.59,33.33,57.11,50.97
580,2.3152,3.3135,14.9,0.3346,1111.63,1413.7,445.29,444.24,19.26,3.3135,1413.7,445.29,112,115,2.0968,1.8659,1.7649,2.4772,2.5472,455.57,2.4527,21.2,1.9317,0.1143,1.7649,1413.7,445.29,444.24,2.0802,21.54,3.3135,14.9,14.9,0.3346,0.3346,63.28,54.05,67.42,71.37,54.53,75.73,76.51,37.5,66.68
581,2.1916,3.3457,21.4,1.4387,1409.7,850.37,446.36,448.19,20.6,3.3457,850.37,446.36,134,115,1.5828,1.818,2.3442,2.0515,0.9986,451.09,2.6291,18.8,0.2673,0.6316,2.3442,850.37,446.36,448.19,1.295,18.07,3.3457,21.4,21.4,1.4387,1.4387,36.03,30.55,70.42,54.56,46.02,45.98,51.23,62.1,59.33
582,1.9731,3.4628,47.3,0.6308,1134.24,801.01,456.37,443.29,21.45,3.4628,801.01,456.37,135,115,2.2719,2.285,2.1221,2.0948,1.5661,453.27,1.8756,18.49,1.3305,2.4311,2.1221,801.01,456.37,443.29,1.3427,21.21,3.4628,47.3,47.3,0.6308,0.6308,44.05,46.76,62.54,39.65,35.94,53.66,71.87,73.21,46.31
583,2.1361,3.182,34.8,1.1503,1398.6,1222.09,448.19,448.11,20.56,3.182,1222.09,448.19,136,115,1.6697,2.0906,2.0015,1.7025,0.0311,456.33,2.0438,21.74,1.5784,0.8572,2.0015,1222.09,448.19,448.11,1.2522,19.13,3.182,34.8,34.8,1.1503,1.1503,38.73,55.88,51.44,36.17,34.88,54.32,51.65,73.44,55.08
584,2.3201,3.4552,38.4,2.8286,935.53,1359.94,459.42,441.32,20.64,3.4552,1359.94,459.42,137,115,2.0954,1.9185,1.5448,1.7582,2.0845,443.93,1.2741,21.67,2.0489,0.2774,1.5448,1359.94,459.42,441.32,1.2488,21.8,3.4552,38.4,38.4,2.8286,2.8286,32.09,75.91,76.14,59.5,50.63,43.68,76.1,54.36,54.89
585,1.7177,3.1769,16.6,2.7147,1074.29,1305.99,446.48,442.42,18.64,3.1769,1305.99,446.48,138,115,1.7158,2.4752,2.1535,2.4481,1.4466,451.43,1.0755,19.82,1.7455,1.2619,2.1535,1305.99,446.48,442.42,2.6089,20.12,3.1769,16.6,16.6,2.7147,2.7147,63.84,79.04,47.09,66.6,48.87,45.28,78.26,67.63,48.36
586,2.3677,3.4226,44.5,2.2815,1228.79,1117.83,451.48,455.09,19.29,3.4226,1117.83,451.48,139,115,2.1167,1.6199,2.4692,1.7469,1.2172,448.17,0.4477,18.54,2.4285,2.1504,2.4692,1117.83,451.48,455.09,2.6134,18.02,3.4226,44.5,44.5,2.2815,2.2815,62.23,56.26,38.01,30.63,64.62,39.74,37,38.02,37.5
587,1.5886,3.3843,32.1,1.7033,1046.41,1023.28,455.7,450.77,20.22,3.3843,1023.28,455.7,140,115,2.1158,1.6136,1.991,2.3877,1.6288,458.46,1.1601,19.22,1.8029,1.2887,1.991,1023.28,455.7,450.77,0.2507,20.08,3.3843,32.1,32.1,1.7033,1.7033,62.63,47.58,54.5,63.79,77.87,62.96,69.57,52.26,66.44
588,1.6231,3.005,14.7,1.5466,1075.13,1191.17,446.74,445.1,18.68,3.005,1191.17,446.74,141,115,2.1479,1.7123,2.1072,1.9287,1.0656,458.06,1.394,21.78,0.3544,0.6002,2.1072,1191.17,446.74,445.1,2.7414,20.86,3.005,14.7,14.7,1.5466,1.5466,68.36,74.47,30.58,77.05,60.53,70.6,66.49,43.94,68.11
589,1.9871,3.0585,28.2,0.8205,1098.21,1282.47,444.39,458.42,21.15,3.0585,1282.47,444.39,142,115,2.2424,2.1391,1.7282,2.063,2.0881,442.13,1.43,21.33,2.2846,1.7689,1.7282,1282.47,444.39,458.42,1.8119,19.55,3.0585,28.2,28.2,0.8205,0.8205,50.95,52.29,46.02,74.62,44.2,39.56,63.11,68.55,66.1
590,2.2545,3.2975,19.6,1.0933,1197.31,1347.81,450.32,454.32,18.99,3.2975,1347.81,450.32,143,115,2.2198,2.0441,2.0353,1.8504,1.6128,449.25,2.4424,20.2,0.3271,1.8893,2.0353,1347.81,450.32,454.32,1.7031,21.24,3.2975,19.6,19.6,1.0933,1.0933,76.21,42.05,57.07,47.71,78.16,41.59,37.65,63.89,75.43
591,1.9772,3.211,12.4,2.2569,803.99,1308.21,453.48,446.12,20.26,3.211,1308.21,453.48,144,115,2.4742,1.9382,2.2717,2.1456,0.9743,450.86,1.2505,19.26,1.0131,1.9338,2.2717,1308.21,453.48,446.12,1.7232,21.27,3.211,12.4,12.4,2.2569,2.2569,55.88,48.67,75.71,52.05,70.63,45.86,45.44,37.81,72.41
592,2.1376,3.495,21,2.4009,1326.15,1055.97,456.94,458.99,20.69,3.495,1055.97,456.94,145,115,2.4169,1.8333,2,1.7508,0.8213,448.33,2.4307,20.63,0.2526,1.0113,2,1055.97,456.94,458.99,1.3324,21.24,3.495,21,21,2.4009,2.4009,43.62,36.11,41.05,53.5,41.83,75,54.5,51.96,59.3
593,1.7227,3.4684,16.4,0.645,1433.91,1094.88,440.77,440.45,19.02,3.4684,1094.88,440.77,146,115,1.7815,1.6419,1.9488,2.0128,2.1201,451.17,0.1962,21.39,2.124,0.7245,1.9488,1094.88,440.77,440.45,1.5154,20.77,3.4684,16.4,16.4,0.645,0.645,41.38,66.24,72.75,75.88,64.72,73.43,78.32,31.98,38.75
594,1.953,3.0189,28.2,0.2492,1247.09,1058.76,441.19,444.98,18.83,3.0189,1058.76,441.19,147,115,2.4306,1.7689,1.8287,1.5854,2.6823,442.03,0.4285,20.17,2.6176,1.7196,1.8287,1058.76,441.19,444.98,1.8451,18.54,3.0189,28.2,28.2,0.2492,0.2492,49.7,60.06,68.77,51.53,54.28,46.05,78.48,60.81,39.47
595,1.634,3.3773,26.7,1.0337,928.83,1262.89,452.44,447.88,21.64,3.3773,1262.89,452.44,148,115,2.4096,2.1917,2.253,1.5005,2.5711,443.5,1.8854,20.63,1.8631,2.1979,2.253,1262.89,452.44,447.88,1.6193,18.12,3.3773,26.7,26.7,1.0337,1.0337,56.23,69.23,49.75,37.2,61.38,55.57,33.63,59.38,68.66
596,1.7767,3.2433,41.6,0.76,1024.73,1006.35,454.53,443.14,21.74,3.2433,1006.35,454.53,149,115,2.2818,1.6579,1.8011,1.9058,0.6913,443.91,1.1805,21.37,0.7181,1.0352,1.8011,1006.35,454.53,443.14,1.0303,18.72,3.2433,41.6,41.6,0.76,0.76,46.44,58.31,63.03,74.93,37.49,62.42,41.53,46.4,77.88
597,2.1041,3.3506,19.2,0.5027,1318.89,1204.95,458.92,458.1,19.4,3.3506,1204.95,458.92,150,115,2.3383,2.2816,1.5237,1.8792,1.3145,443.44,1.0168,20.01,1.3808,1.7245,1.5237,1204.95,458.92,458.1,2.3011,19.3,3.3506,19.2,19.2,0.5027,0.5027,39.81,30.64,46.78,62.56,48.43,36.68,79.61,45.01,56.67
598,1.7635,2.8599,13.7,0.6794,1298.64,1153.69,446.82,447.26,20.44,2.8599,1153.69,446.82,151,115,2.0345,1.7333,2.2721,1.514,1.076,440.44,0.8366,20.62,2.441,2.9651,2.2721,1153.69,446.82,447.26,0.2957,20.71,2.8599,13.7,13.7,0.6794,0.6794,43.7,31.72,49.94,51.37,73.65,79.23,62.98,41.85,50.98
599,1.7525,3.1362,12.1,1.578,1175.18,983.71,446.88,441.81,21.54,3.1362,983.71,446.88,152,115,1.6034,2.1311,1.9661,2.1861,1.4298,448.26,2.4992,19.88,0.1835,2.252,1.9661,983.71,446.88,441.81,1.247,20.21,3.1362,12.1,12.1,1.578,1.578,56.8,57.26,60.41,52.92,79.41,54.48,60,72.25,41.15
600,1.6414,2.9727,34.7,0.8717,1423.39,1133.66,458.89,458.51,21.92,2.9727,1133.66,458.89,153,115,1.54,2.2157,2.2763,1.6682,2.2933,446.15,0.2941,20.1,1.1844,1.4221,2.2763,1133.66,458.89,458.51,2.2199,22,2.9727,34.7,34.7,0.8717,0.8717,64.57,78.42,59.75,73.92,31.13,56.72,43.71,71.43,44.25
601,2.1157,3.1907,29.2,1.6833,1302.58,1010.85,450.06,457.67,21.21,3.1907,1010.85,450.06,103,116,2.2305,2.1535,1.6654,2.2986,2.1844,442.92,1.7994,19.14,1.9256,2.8468,1.6654,1010.85,450.06,457.67,2.5416,20.15,3.1907,29.2,29.2,1.6833,1.6833,64.59,63.99,73.5,39.19,55.06,65.39,34.88,44.06,61.42
602,1.5937,2.9044,47.4,2.4817,1048.96,1469.31,453.76,444.12,21.34,2.9044,1469.31,453.76,104,116,2.2142,2.0843,1.8113,2.1256,1.6668,443.75,0.2838,20.25,1.4264,1.2518,1.8113,1469.31,453.76,444.12,1.8603,20.73,2.9044,47.4,47.4,2.4817,2.4817,36.48,55.1,67.54,38.41,70.77,75.78,46.21,49.16,69.66
603,1.7223,2.9099,30.5,2.8508,1106.06,1476.17,459.84,446.35,19.62,2.9099,1476.17,459.84,105,116,1.7562,2.1336,1.8255,1.9155,0.7735,456.19,1.4764,20.26,2.8992,0.7073,1.8255,1476.17,459.84,446.35,1.2294,19.47,2.9099,30.5,30.5,2.8508,2.8508,63.01,48.96,31.96,49.53,54.92,52.8,31.53,39.2,48.2
604,1.8898,3.4859,25.8,2.051,936.05,844.61,457.24,457.32,21.88,3.4859,844.61,457.24,106,116,2.1011,2.4837,2.4991,1.7985,0.721,442.7,2.7177,21.86,1.138,2.8811,2.4991,844.61,457.24,457.32,0.3769,20.01,3.4859,25.8,25.8,2.051,2.051,35.31,73.92,73.15,62.41,55.51,62.1,41.64,75.26,68.06
605,2.4554,3.4647,21,0.028,980.14,1146.51,444.93,444.68,18.17,3.4647,1146.51,444.93,107,116,2.1554,2.0636,1.9332,1.87,0.0517,453.86,1.1615,19.91,2.7369,1.2796,1.9332,1146.51,444.93,444.68,2.6624,18.62,3.4647,21,21,0.028,0.028,38.54,79.47,44.01,42.88,30.37,32.88,61.74,53.04,78.66
606,2.2037,3.2691,44.2,2.6318,1080.08,1247.91,457.2,442.83,21.79,3.2691,1247.91,457.2,108,116,1.803,2.2452,1.9585,1.7785,0.5394,455.08,2.5123,19.19,1.1315,2.933,1.9585,1247.91,457.2,442.83,1.2695,20.3,3.2691,44.2,44.2,2.6318,2.6318,56.63,38.55,71.24,75.41,55.97,78.86,77.91,38.49,33.98
607,2.1272,3.2589,20,1.0603,978.24,960.5,454.03,458.47,20.93,3.2589,960.5,454.03,109,116,1.9265,2.0646,1.5197,2.2584,2.2382,445.03,2.1023,20.25,0.9952,1,1.5197,960.5,454.03,458.47,2.5436,18.77,3.2589,20,20,1.0603,1.0603,53.2,52.38,62.49,39.78,51.98,62.96,31.84,40.72,43.85
