LotNo=8J208472700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTestDate=2023/06/06 AM 09:09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal,Spec,Fmodel,Rmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EquipmentID=AWPRF22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatorID=25370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
193,2.0266,3.046,36.1,1.6542,1163.09,1217.51,440.83,456.68,20.18,3.046,1217.51,440.83,142,106,2.1736,1.6792,2.1115,1.6697,0.8032,445.72,0.9343,18.21,2.646,2.0505,2.1115,1217.51,440.83,456.68,0.4037,22,3.046,36.1,36.1,1.6542,1.6542,34.21,47.3,38.14,68.53,46.74,62.13,41.33,33.29,73.93
194,2.4695,3.2961,47.8,0.6998,928.13,982.97,459.82,443.42,19.49,3.2961,982.97,459.82,143,106,1.5318,2.0402,2.0982,1.5511,0.6524,450.33,0.7259,19.48,1.3011,1.4406,2.0982,982.97,459.82,443.42,1.8682,20.35,3.2961,47.8,47.8,0.6998,0.6998,70.28,45.01,54.16,51.86,48.11,54.73,68.89,33.55,33.92
195,2.3539,3.2843,41.9,0.2079,1356.19,886.14,451.64,445.15,20.04,3.2843,886.14,451.64,144,106,1.8526,1.5295,2.3068,2.3931,2.0639,455.91,2.2197,19.94,2.0078,0.2267,2.3068,886.14,451.64,445.15,0.5363,20.42,3.2843,41.9,41.9,0.2079,0.2079,68.56,38.94,73.67,46.62,53.34,46.76,75.32,38.79,38.97
196,2.052,3.1121,40.2,2.0341,1087.24,1041.44,454.47,441.07,21.98,3.1121,1041.44,454.47,145,106,2.3669,2.3866,1.9462,2.2238,1.0723,448.36,0.6403,18.59,2.9636,1.2912,1.9462,1041.44,454.47,441.07,2.9574,19.71,3.1121,40.2,40.2,2.0341,2.0341,66.46,61.11,51.39,53.31,61.1,69.75,30.84,74.5,62.2
197,1.5398,3.1266,17.7,1.3807,858.86,1011.3,446.91,450.12,19.63,3.1266,1011.3,446.91,146,106,2.1909,2.3857,2.377,2.0423,1.6647,445.67,2.2722,19.26,2.6345,0.2972,2.377,1011.3,446.91,450.12,0.024,18.4,3.1266,17.7,17.7,1.3807,1.3807,75.03,49.16,49.17,66.58,73.64,76.05,51.42,62.88,52.69
198,2.3892,3.443,10.8,1.7395,1080.95,1108.41,452.96,443.69,18.21,3.443,1108.41,452.96,147,106,1.5306,1.6747,2.1168,1.9208,0.2036,447.78,0.2137,18.19,0.4042,2.0567,2.1168,1108.41,452.96,443.69,0.7542,21.83,3.443,10.8,10.8,1.7395,1.7395,38.05,53.36,75.64,79.87,72.96,64.03,67.89,73.74,59.41
199,2.4806,3.3976,42.7,2.6914,1288.44,1212.87,443.43,455.36,20.88,3.3976,1212.87,443.43,148,106,2.0341,1.8816,1.6588,2.0552,2.0798,457.2,1.9977,21.24,2.0526,1.4299,1.6588,1212.87,443.43,455.36,2.2518,19.95,3.3976,42.7,42.7,2.6914,2.6914,40.3,71.98,79.73,48.49,31.44,54.58,42.61,43.07,77.54
200,2.4221,2.9624,16.3,0.7275,1214.64,821.47,459.07,457.47,21.01,2.9624,821.47,459.07,149,106,1.669,1.8764,2.3465,1.7397,1.5758,451.8,0.2513,19.81,2.9771,2.8478,2.3465,821.47,459.07,457.47,1.9238,20.55,2.9624,16.3,16.3,0.7275,0.7275,30.13,31.78,49.98,79.19,76.66,43.62,31.81,44.58,60.14
201,1.5121,2.9551,44.8,2.8143,1404.94,1120.19,458.09,456.64,18.99,2.9551,1120.19,458.09,150,106,2.0552,1.6492,2.4375,1.8724,0.2668,447.46,1.5269,18.55,1.0676,2.3866,2.4375,1120.19,458.09,456.64,0.903,19.29,2.9551,44.8,44.8,2.8143,2.8143,69.78,55.84,32.98,75.25,56.17,38.07,61.78,45.03,32.67
202,1.705,3.3557,14.7,0.0164,1111.32,1481.72,450.41,446.14,19.98,3.3557,1481.72,450.41,151,106,2.389,1.6144,1.5997,1.8528,2.3143,457.15,1.7554,18.73,2.9896,1.3676,1.5997,1481.72,450.41,446.14,1.0418,19.17,3.3557,14.7,14.7,0.0164,0.0164,33.14,73.5,60.07,69.01,53.67,54.06,75.1,63.5,32.04
203,2.0631,3.3996,31.5,0.2109,1082.81,852.29,457,447.32,21.99,3.3996,852.29,457,152,106,2.41,1.8293,2.3968,1.8144,2.7478,449.39,0.7299,21.42,1.0355,2.7513,2.3968,852.29,457,447.32,0.7756,21.9,3.3996,31.5,31.5,0.2109,0.2109,60.16,48.22,31.08,34.36,64.47,55.02,63.05,79.29,79.73
204,2.3154,3.3854,11.9,0.7362,1421.43,1384.2,449.3,457.03,19.37,3.3854,1384.2,449.3,153,106,2.3241,2.4553,2.1762,1.7825,1.7959,457.42,2.0116,21.75,0.2967,2.2239,2.1762,1384.2,449.3,457.03,1.5607,18.23,3.3854,11.9,11.9,0.7362,0.7362,66.57,66.39,36.53,55.46,62.29,56.42,43.06,33.62,73.85
205,2.1225,3.032,13.5,1.9931,1348.7,1215.22,456.13,455.77,18.28,3.032,1215.22,456.13,103,107,1.6331,1.8919,1.6266,2.3837,2.609,456.61,2.4077,20.87,2.8415,1.5237,1.6266,1215.22,456.13,455.77,1.1384,20.02,3.032,13.5,13.5,1.9931,1.9931,46.73,41.78,51.02,71.54,50.33,64.08,48.13,69.96,30.1
206,1.8406,2.8643,25.8,0.9827,1073.45,893.91,452.63,447.87,19.2,2.8643,893.91,452.63,104,107,2.3039,1.5099,2.4765,2.2618,2.2856,443.2,0.8679,19.84,0.4732,0.1321,2.4765,893.91,452.63,447.87,2.9223,20.91,2.8643,25.8,25.8,0.9827,0.9827,59.93,38.38,34.21,72.94,77.9,65.33,30.99,62.3,58.02
207,1.9864,3.0032,13.8,0.8235,962.76,900.39,458.75,444.77,19.33,3.0032,900.39,458.75,105,107,1.6164,2.4339,1.789,2.2083,1.2579,445.89,0.3274,18.51,0.7858,0.8877,1.789,900.39,458.75,444.77,0.3565,19.7,3.0032,13.8,13.8,0.8235,0.8235,59.93,71.18,69.37,47.08,72.9,55.2,53.95,56.24,72.22
208,2.0743,3.4221,24.7,1.2095,1183.49,932.66,455.4,449.17,18.54,3.4221,932.66,455.4,106,107,2.206,1.9693,2.3393,2.1212,1.1124,440.48,2.8724,20.39,2.4277,2.242,2.3393,932.66,455.4,449.17,2.7048,18.09,3.4221,24.7,24.7,1.2095,1.2095,51.04,69.11,35.6,38.06,46.94,54.03,55.58,51.09,48.02
209,2.052,3.3142,43.9,2.6839,1325.08,1064.31,449.19,458.23,21.66,3.3142,1064.31,449.19,107,107,2.1267,1.9326,1.7837,2.2107,2.9613,441.08,0.2413,21.74,1.823,0.9651,1.7837,1064.31,449.19,458.23,0.2543,19.25,3.3142,43.9,43.9,2.6839,2.6839,79.02,78.15,50.64,62.39,59.9,68.74,39.72,74.84,63.49
210,1.9447,3.4068,32.3,1.7258,986.73,932.11,455.9,446.37,21.59,3.4068,932.11,455.9,108,107,2.0526,1.6807,2.3906,2.4225,0.59,442.98,1.5114,21.48,1.8225,0.886,2.3906,932.11,455.9,446.37,0.5437,20,3.4068,32.3,32.3,1.7258,1.7258,51.75,62.2,41.38,62.25,59.06,33.52,33.9,36.38,66.04
211,2.3596,2.8837,18.4,2.5185,1460.39,939.47,459.01,458.97,18.75,2.8837,939.47,459.01,109,107,1.9557,2.4082,2.3505,2.4299,0.7452,456.79,2.6782,21.61,0.2209,0.9611,2.3505,939.47,459.01,458.97,1.2361,21.35,2.8837,18.4,18.4,2.5185,2.5185,54.52,45.12,60.66,66.75,61.19,47.1,42.01,64.13,45.92
212,2.4295,3.1216,38.6,1.7154,1135.69,1070.91,448.05,447.9,21.4,3.1216,1070.91,448.05,110,107,1.5515,2.2304,2.1104,2.2924,2.4541,452.31,0.9603,21.83,2.1404,1.4997,2.1104,1070.91,448.05,447.9,1.3663,19.35,3.1216,38.6,38.6,1.7154,1.7154,42.24,49.46,59.53,33.04,40.13,61.47,34.78,39.56,42.39
213,1.5697,3.2507,48.8,1.9501,1436.49,1234.55,459.96,441.51,21.89,3.2507,1234.55,459.96,111,107,2.461,2.2776,2.2659,2.1435,1.6549,456.18,1.1779,21.66,2.0357,2.6273,2.2659,1234.55,459.96,441.51,0.3854,18.3,3.2507,48.8,48.8,1.9501,1.9501,73.1,41.74,47.99,49.25,55.82,75.27,63.28,58.58,74
214,2.1334,3.0247,41.1,0.0129,1069.59,844.06,441.04,440.94,21,3.0247,844.06,441.04,112,107,1.623,2.0127,1.7213,2.0047,2.5587,451.16,0.636,18.72,1.0323,2.8678,1.7213,844.06,441.04,440.94,0.1816,18.2,3.0247,41.1,41.1,0.0129,0.0129,33.07,62.07,36.22,68.21,50.3,36.86,63.87,68.06,50.62
215,2.1792,3.1801,16.3,0.6931,809.13,1062.95,457.45,448.84,20.29,3.1801,1062.95,457.45,113,107,1.6365,2.2732,1.8553,1.823,1.0801,441.67,1.3237,18.28,0.9578,0.6511,1.8553,1062.95,457.45,448.84,2.0845,19.41,3.1801,16.3,16.3,0.6931,0.6931,30.05,47.02,48.39,71.88,51.12,53.2,75.99,54.37,67.99
216,2.0665,3.4279,29.1,0.7452,1040.06,1492.65,456.11,444.02,20.36,3.4279,1492.65,456.11,114,107,2.0563,1.9412,1.9556,2.3293,2.8654,448.69,2.7661,21.03,2.2016,1.5775,1.9556,1492.65,456.11,444.02,1.1091,21.96,3.4279,29.1,29.1,0.7452,0.7452,53.26,56.48,55.7,34.82,71,79.75,33.61,78.78,35.32
217,1.7006,3.3615,49.6,1.451,890.13,1322.95,459.44,446.81,21.93,3.3615,1322.95,459.44,115,107,1.544,2.0215,2.4639,1.6241,0.7111,440.18,2.2783,18.37,1.1086,1.4239,2.4639,1322.95,459.44,446.81,0.9372,18.07,3.3615,49.6,49.6,1.451,1.451,78.38,56.1,67.53,50.07,51.38,39.55,55.18,43.43,68.55
218,1.5276,3.4333,49.6,0.7357,851.23,826.47,453,447.43,19.28,3.4333,826.47,453,116,107,2.1118,1.6492,1.8707,1.8551,0.1343,440.37,1.6379,21.74,2.4015,2.4391,1.8707,826.47,453,447.43,1.6116,19.76,3.4333,49.6,49.6,0.7357,0.7357,68.02,56.97,44.68,68.26,34.5,37.32,52.12,75.19,36.08
219,1.7739,3.3752,34.5,1.1916,1371.69,1290.61,457.17,441.1,18.93,3.3752,1290.61,457.17,117,107,2.1024,2.3545,2.3555,1.6942,2.453,454.61,2.2157,19.58,0.3166,1.5266,2.3555,1290.61,457.17,441.1,2.7046,20.47,3.3752,34.5,34.5,1.1916,1.1916,78.82,39.55,51.21,78.94,43.47,37.75,78.18,60.55,33.25
220,2.3384,3.1787,44.4,2.8519,802.19,1403.49,454.13,447.99,21.49,3.1787,1403.49,454.13,118,107,1.5702,1.6487,2.3787,2.0909,2.6105,444.71,1.3009,19.2,2.3554,1.4973,2.3787,1403.49,454.13,447.99,0.1267,18.84,3.1787,44.4,44.4,2.8519,2.8519,37.92,52.78,72.94,32.6,41.18,60.75,33.34,74.95,53.78
221,2.1105,2.8553,45.2,2.9556,1409.16,1050.3,441.4,456.19,18.85,2.8553,1050.3,441.4,119,107,1.6998,2.0787,1.789,1.8803,0.858,448.94,1.7371,18.56,2.3651,2.4077,1.789,1050.3,441.4,456.19,1.7443,19.58,2.8553,45.2,45.2,2.9556,2.9556,74.52,78.64,60.41,32.83,53.76,49.05,67.65,38.05,68.12
222,1.729,2.9943,32.9,1.243,874.7,1298.73,459,444.92,21.23,2.9943,1298.73,459,120,107,2.0668,2.1198,1.5256,2.4008,0.0632,453.63,1.2361,20.14,0.5688,2.173,1.5256,1298.73,459,444.92,1.7127,18.15,2.9943,32.9,32.9,1.243,1.243,56.42,42.4,77.54,63.6,61.28,68.09,38.54,67.59,46.26
223,1.7477,2.8845,10.7,2.6186,810.28,1334.17,449.99,447.37,18.42,2.8845,1334.17,449.99,121,107,2.2799,1.6688,1.5664,2.3559,1.5033,443.25,2.5514,20.77,1.0928,0.8563,1.5664,1334.17,449.99,447.37,2.3315,20.68,2.8845,10.7,10.7,2.6186,2.6186,65.19,53.16,42.45,52.77,74.28,33.73,30.13,54.1,58.31
224,1.9389,2.9257,31.6,2.1349,913.12,958.39,454.68,440.46,20.6,2.9257,958.39,454.68,122,107,1.9667,2.4677,2.1247,2.17,1.0212,445.25,0.0748,20.5,2.0963,2.0862,2.1247,958.39,454.68,440.46,0.617,18.78,2.9257,31.6,31.6,2.1349,2.1349,78.87,66.95,77.48,48.56,78.53,58.58,37.36,69.75,51.69
225,1.6746,3.2732,20,1.306,1371.33,1368.42,456.09,453.18,21.37,3.2732,1368.42,456.09,123,107,2.3282,2.1594,1.8315,2.4421,0.3934,442.67,0.1767,20.08,0.5068,0.2923,1.8315,1368.42,456.09,453.18,0.4359,18.09,3.2732,20,20,1.306,1.306,44.99,34.31,41.69,65.74,57.48,54.47,46.51,78.68,43.4
226,1.5266,3.2663,39.7,0.6244,907.45,1270.87,455.06,454.52,20.01,3.2663,1270.87,455.06,124,107,2.1977,2.4905,1.5911,1.6989,2.8935,446.94,0.3555,18.08,2.9842,2.8559,1.5911,1270.87,455.06,454.52,0.7237,18.47,3.2663,39.7,39.7,0.6244,0.6244,72.19,42.03,76.83,57.07,43.33,75.32,59.55,41.81,41.7
227,2.1154,2.8126,19.5,1.9193,1406.69,1340.11,448.12,443.52,20.43,2.8126,1340.11,448.12,125,107,1.781,2.0677,1.5988,1.6209,0.562,447.04,1.8887,20.34,0.6719,2.9218,1.5988,1340.11,448.12,443.52,0.1613,20.09,2.8126,19.5,19.5,1.9193,1.9193,51.11,59.52,47.77,42.26,51.79,48.66,66.13,39.08,60.35
228,2.4613,2.8098,18.2,1.7247,1452,1338.77,455.79,443.2,21.34,2.8098,1338.77,455.79,126,107,1.7504,2.2912,2.2659,1.6232,0.5421,456.31,2.4932,20.37,1.7066,0.2284,2.2659,1338.77,455.79,443.2,1.3107,19.82,2.8098,18.2,18.2,1.7247,1.7247,36.3,61.11,75.88,42.14,43.55,52.54,68.55,60.31,60.04
229,2.3693,2.8372,36.5,2.6289,1278.5,1033.67,441.95,447.8,21.41,2.8372,1033.67,441.95,127,107,1.8701,1.6924,2.3841,2.0558,2.5528,441.62,1.7949,18.91,0.0191,1.1436,2.3841,1033.67,441.95,447.8,2.6161,21.38,2.8372,36.5,36.5,2.6289,2.6289,34.78,48.3,50.74,32.89,38.92,57.24,50.37,75.49,31.91
230,2.1263,3.3159,35.9,1.3093,876.51,922.46,450.34,451.95,19.54,3.3159,922.46,450.34,128,107,2.1645,2.1793,1.8859,2.0043,0.9592,442.82,1.1154,18.3,0.3066,1.3614,1.8859,922.46,450.34,451.95,1.5701,20.95,3.3159,35.9,35.9,1.3093,1.3093,67.04,67.76,76.8,70.77,68.97,59.83,56.66,37.17,31.82
231,2.0906,3.2785,19.6,0.021,1380.97,1051.1,440.08,458.64,21.87,3.2785,1051.1,440.08,129,107,2.4106,2.2544,1.5204,2.1852,0.2133,440.27,0.1997,18.53,0.6414,1.2442,1.5204,1051.1,440.08,458.64,0.227,21.88,3.2785,19.6,19.6,0.021,0.021,34.06,33.76,68.24,68.75,61.99,69.5,70.68,61.72,41.88
232,2.445,2.9916,16.6,2.4268,1109.13,997.37,445.64,443.47,19.13,2.9916,997.37,445.64,130,107,2.2629,1.624,2.3482,2.2047,2.1944,446.77,0.4953,19.41,0.4958,1.7455,2.3482,997.37,445.64,443.47,2.9015,19.88,2.9916,16.6,16.6,2.4268,2.4268,56.24,30.15,54.4,63.22,61.42,75.6,75.5,65.22,45.63
233,2.4791,3.0881,30.9,0.5877,1139,800.68,453.58,445.24,20.72,3.0881,800.68,453.58,131,107,1.9013,2.4808,2.2665,2.0243,1.2944,446.37,0.8133,18.77,2.558,1.5854,2.2665,800.68,453.58,445.24,2.4275,21.72,3.0881,30.9,30.9,0.5877,0.5877,33.64,65.24,76.96,48.32,69.89,31.05,75.08,37.05,38.24
234,2.1213,2.8165,33.7,2.7725,1081.34,1239.4,445.46,451.24,18.74,2.8165,1239.4,445.46,132,107,1.8528,2.4158,1.9945,2.3811,0.1891,456.37,2.8916,19.05,2.8206,0.7116,1.9945,1239.4,445.46,451.24,1.9207,20.64,2.8165,33.7,33.7,2.7725,2.7725,42.7,65.22,65.71,56.85,61.85,43.79,73.13,55.67,37.36
235,1.5825,3.2225,22.4,1.7264,1004.47,910.31,447.49,451.14,21.19,3.2225,910.31,447.49,133,107,2.182,1.7576,1.8944,1.8353,1.9758,453.2,0.6946,21.95,0.2833,2.4496,1.8944,910.31,447.49,451.14,1.7001,21.42,3.2225,22.4,22.4,1.7264,1.7264,30.85,45.55,55.16,49.36,78.43,45.29,49.48,73.36,73.39
236,2.3771,3.2018,45.1,1.3459,1285.57,1434.66,445.99,447.12,18.73,3.2018,1434.66,445.99,134,107,2.1338,2.058,1.9329,2.2659,1.8729,440.55,2.5098,19.39,0.0443,1.6456,1.9329,1434.66,445.99,447.12,1.1787,18.36,3.2018,45.1,45.1,1.3459,1.3459,61.69,73.18,69.68,59.67,44.54,77.44,59.45,32.66,66.07
237,1.9536,2.8668,46.2,1.1455,1155.94,895.96,457.87,441.36,19.91,2.8668,895.96,457.87,135,107,2.0767,1.977,1.5085,1.5653,1.9568,452.89,2.9501,21.02,2.6989,0.2618,1.5085,895.96,457.87,441.36,0.3198,21.9,2.8668,46.2,46.2,1.1455,1.1455,55.14,46.14,57.3,56.43,76.37,69.88,34.59,77.72,32.57
238,1.7314,2.9617,25.1,1.3668,945.69,1003.77,445.55,445.82,20.51,2.9617,1003.77,445.55,136,107,2.3164,1.6015,1.5406,1.5862,1.956,450.44,2.1043,21.39,1.58,1.1326,1.5406,1003.77,445.55,445.82,0.0706,19.68,2.9617,25.1,25.1,1.3668,1.3668,48.14,41.5,60.22,32.1,54.48,39.58,57.9,70.53,47.03
239,2.271,2.9337,22.8,2.9472,1054.1,1377.15,458.3,440.11,21.27,2.9337,1377.15,458.3,137,107,1.8839,2.2253,2.0893,2.1291,1.3381,450.52,0.0399,18.93,2.792,2.5086,2.0893,1377.15,458.3,440.11,1.1035,19.12,2.9337,22.8,22.8,2.9472,2.9472,33.08,60.16,70.76,45.22,44.26,55.86,40.94,55.3,68.12
240,2.4426,3.3367,27.5,0.0971,1383.09,1091.53,441.09,456.31,22,3.3367,1091.53,441.09,138,107,2.4097,2.2656,1.7776,1.8372,0.7273,445.76,1.5208,18.52,0.4762,1.251,1.7776,1091.53,441.09,456.31,1.0677,21.25,3.3367,27.5,27.5,0.0971,0.0971,39.38,38.18,51.19,78.61,57.08,76.55,50.68,79.48,47.13
241,1.7997,3.252,38.9,2.7785,960.73,1418.46,456.17,443.88,19.5,3.252,1418.46,456.17,139,107,1.7276,1.7156,1.6538,2.2549,0.9892,446.92,2.9466,21.63,0.5996,2.1817,1.6538,1418.46,456.17,443.88,0.23,20.37,3.252,38.9,38.9,2.7785,2.7785,46.15,73.39,40.2,72.47,54.37,49.55,34.49,56.71,48.58
242,2.3747,3.1894,28.3,0.8535,922.13,1299.61,447.64,443.67,20.67,3.1894,1299.61,447.64,140,107,1.5234,2.3517,2.456,2.2592,0.6039,459.93,2.1462,21.92,0.0742,1.127,2.456,1299.61,447.64,443.67,2.7643,20.73,3.1894,28.3,28.3,0.8535,0.8535,31.39,40.93,53.33,34.01,67.78,35.37,60.88,68.23,50.18
243,1.8333,3.1564,40.7,1.2638,1275.19,1268.24,441.38,440.1,18.26,3.1564,1268.24,441.38,141,107,1.8481,1.7449,1.5457,2.3965,2.1897,457.31,2.3813,20.58,2.93,0.0535,1.5457,1268.24,441.38,440.1,2.2902,18.76,3.1564,40.7,40.7,1.2638,1.2638,67.36,55.28,30.72,40.16,38.17,59.46,40.2,73.94,62.86
244,2.1486,3.4309,45.8,1.6407,813.78,1374.67,457.28,450.77,18.8,3.4309,1374.67,457.28,142,107,1.9309,2.483,2.0711,1.8981,1.8773,450.42,0.4147,19.12,0.3115,1.5184,2.0711,1374.67,457.28,450.77,1.8283,20.36,3.4309,45.8,45.8,1.6407,1.6407,69.01,45.71,36.11,34.61,53.78,65.92,39.04,39.76,32.95
245,2.1708,3.0186,16.6,1.6605,990.42,834.11,457.78,457.66,21.65,3.0186,834.11,457.78,143,107,2.0165,2.4725,2.4588,2.4696,2.3617,440.53,0.8743,19.1,1.0589,0.1443,2.4588,834.11,457.78,457.66,1.0844,20.64,3.0186,16.6,16.6,1.6605,1.6605,66.8,77.7,73.22,75.64,31.82,71.77,43.64,46.59,54.89
246,1.8198,2.802,20.1,1.1439,1310.46,1398.65,448.7,449.72,20.4,2.802,1398.65,448.7,144,107,1.5128,1.8329,2.0042,1.9465,1.5697,444.28,2.8761,21.31,2.2305,2.06,2.0042,1398.65,448.7,449.72,0.5974,19.06,2.802,20.1,20.1,1.1439,1.1439,43.65,73.2,39.96,63.59,78.51,33.85,37.15,72.85,72.47
247,2.3129,2.9852,49.4,1.7656,1081.09,1394.76,444.6,448.2,18.74,2.9852,1394.76,444.6,145,107,2.1413,1.5605,1.8912,1.5146,0.487,455.99,0.4489,18.22,1.6871,1.9452,1.8912,1394.76,444.6,448.2,2.1441,18.83,2.9852,49.4,49.4,1.7656,1.7656,51.18,45.04,48.26,75.6,54.98,56.45,79.12,52.88,55.09
248,2.0059,2.8358,20.7,1.4169,842.87,1341.75,446.24,445.32,18.04,2.8358,1341.75,446.24,146,107,2.4048,1.9614,2.1742,2.0293,1.2891,443.06,2.8779,19.43,1.6029,1.2109,2.1742,1341.75,446.24,445.32,0.8555,21.59,2.8358,20.7,20.7,1.4169,1.4169,63.15,42.41,55.3,68.93,56.38,48.81,36.5,69.76,47.69
249,2.0145,2.8593,39.6,0.203,1051.79,866.49,442.43,441.94,21.31,2.8593,866.49,442.43,147,107,1.875,1.9592,1.8571,1.553,2.6418,449.11,2.8675,20.78,0.9734,1.3845,1.8571,866.49,442.43,441.94,0.5884,18.17,2.8593,39.6,39.6,0.203,0.203,60.08,31.48,42.36,64.75,47.42,43.46,51.66,55.01,39.6
250,1.5332,3.497,47.7,1.8884,905.45,1022.11,456.86,452.34,21.69,3.497,1022.11,456.86,148,107,2.3759,1.5347,1.6526,1.5635,0.9424,440.99,1.612,20.2,1.7921,2.4755,1.6526,1022.11,456.86,452.34,1.796,18.69,3.497,47.7,47.7,1.8884,1.8884,74.14,58.62,53.57,69.5,48.83,33.82,73.41,57.97,71.15
251,2.2026,2.9304,28.7,2.9398,976.51,995.06,454.42,441.08,19.28,2.9304,995.06,454.42,149,107,1.8651,2.3446,2.0907,2.3081,1.5036,448.81,0.6527,19.57,0.1882,2.6415,2.0907,995.06,454.42,441.08,0.5883,19.9,2.9304,28.7,28.7,2.9398,2.9398,66.09,78.09,40.99,38.14,59.97,66.95,31.33,67.72,75.01
252,1.8651,3.2379,16.9,0.0915,1110.55,1089.29,448.1,458.13,19.47,3.2379,1089.29,448.1,150,107,1.7175,1.5245,1.6848,2.3399,2.1351,451.94,0.0327,20.8,0.6106,2.8298,1.6848,1089.29,448.1,458.13,2.3419,21.6,3.2379,16.9,16.9,0.0915,0.0915,35.65,79.73,47.13,39.18,77.11,52.81,66.23,46.53,46.88
253,2.4551,3.1849,19.1,0.1553,1055.35,900.34,453.2,442.49,19.55,3.1849,900.34,453.2,151,107,1.505,2.0625,2.0779,1.623,2.1183,440.45,1.0057,21.02,2.7002,2.2364,2.0779,900.34,453.2,442.49,0.3211,20.16,3.1849,19.1,19.1,0.1553,0.1553,43.24,42.05,38.11,46.11,33.84,69.59,71.2,49.42,70.29
254,1.7303,3.2229,43.7,1.3767,1480.02,1279.79,441.06,449.8,18.28,3.2229,1279.79,441.06,152,107,1.7802,2.2746,1.7786,1.7291,2.7611,441.6,0.1726,18.15,2.0676,2.5159,1.7786,1279.79,441.06,449.8,1.7538,21.17,3.2229,43.7,43.7,1.3767,1.3767,61.49,68.43,53.56,40.98,72.04,41.6,56.05,61.38,57.78
255,1.6377,3.3308,18.1,0.8725,1396.98,814.95,459.69,448.85,20.78,3.3308,814.95,459.69,153,107,1.9226,1.561,1.8798,1.8534,2.6628,443.26,1.3288,21.25,1.5942,0.3284,1.8798,814.95,459.69,448.85,1.1869,20.48,3.3308,18.1,18.1,0.8725,0.8725,43.45,48.77,70.45,30.39,55.51,69.44,41.85,74.94,71.21
256,2.4669,3.478,43.5,2.4649,1350.44,1218.66,441.79,451.7,18.75,3.478,1218.66,441.79,103,108,1.7039,2.1675,1.8584,2.2935,2.0574,441.12,0.3114,20.86,2.2204,2.4077,1.8584,1218.66,441.79,451.7,0.3251,21.75,3.478,43.5,43.5,2.4649,2.4649,35.29,56.54,70.32,67.36,49.38,43.77,62.57,47.18,67.77
257,1.7161,3.4284,19.6,1.8898,962.17,1411.22,443.89,453.04,21.92,3.4284,1411.22,443.89,104,108,1.5348,2.4895,2.4716,1.8706,1.6593,453.53,0.6968,21.14,0.69,2.4552,2.4716,1411.22,443.89,453.04,0.4195,18.92,3.4284,19.6,19.6,1.8898,1.8898,46.76,63.02,31.44,34.49,42.71,34.14,46.99,47.42,31.72
258,1.7359,3.2684,48.2,2.8022,1338.57,1380.44,454.84,457,19.57,3.2684,1380.44,454.84,105,108,1.8044,2.2689,2.0776,2.2737,0.205,455.35,2.6857,18.42,0.8694,1.2103,2.0776,1380.44,454.84,457,0.3415,21.57,3.2684,48.2,48.2,2.8022,2.8022,42.27,30.81,66.62,77.69,45.65,66,67.1,46.64,50.6
259,1.9711,3.4361,38.5,2.3037,1263.25,1184.26,441.41,441.99,20.33,3.4361,1184.26,441.41,106,108,1.9452,2.0247,2.2168,2.1857,0.6342,441.67,1.3506,19.99,2.4095,2.7294,2.2168,1184.26,441.41,441.99,0.8175,20.94,3.4361,38.5,38.5,2.3037,2.3037,48.29,52.41,33.09,65.19,39.12,39.64,74.98,59.02,53.19
260,2.089,3.4364,14.4,1.9054,1053.32,1058.74,442.66,442.68,18.83,3.4364,1058.74,442.66,107,108,1.9925,2.3763,2.3246,1.8969,2.8076,452.92,1.2543,18.75,1.942,1.3778,2.3246,1058.74,442.66,442.68,2.5633,18.65,3.4364,14.4,14.4,1.9054,1.9054,63.87,39.73,78.29,62.33,53.51,36.44,78.29,68.72,51.65
261,1.905,3.2668,24.8,2.8771,938.97,988.86,442.97,450.15,19.31,3.2668,988.86,442.97,108,108,2.2789,2.2388,1.9313,2.4591,2.2847,449.39,2.654,18.06,2.879,0.624,1.9313,988.86,442.97,450.15,2.645,20.93,3.2668,24.8,24.8,2.8771,2.8771,40.03,61.93,71.45,68.87,53.48,72.14,37.66,35.84,33.03
262,2.3183,3.3246,45,0.8056,837.62,985.54,451.56,452.9,18.74,3.3246,985.54,451.56,109,108,2.3308,2.4871,1.5229,1.938,1.2785,456.44,0.7641,21.14,2.4892,2.9758,1.5229,985.54,451.56,452.9,2.2086,19.91,3.3246,45,45,0.8056,0.8056,48.91,45.84,56.19,68.97,53.81,66.49,33.13,48.72,62.95
