LotNo=8J208472300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTestDate=2023/06/06 AM 09:09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal,Spec,Fmodel,Rmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EquipmentID=AWPRF22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatorID=25370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
216,2.0739,2.9763,14.1,1.8466,1212.37,866.12,458.42,456.89,18.59,2.9763,866.12,458.42,114,107,2.1509,1.5344,1.956,1.7894,1.7396,447.31,0.4515,19.43,1.6464,2.2718,1.956,866.12,458.42,456.89,0.2603,18.73,2.9763,14.1,14.1,1.8466,1.8466,57.77,78.03,47.28,57.77,59.94,77.13,78.82,57.81,39.93
217,1.5322,3.2722,31.7,0.0254,1329.6,1306.71,448.04,454.39,21.39,3.2722,1306.71,448.04,115,107,1.8061,2.2617,1.529,1.9373,1.9255,444.55,1.833,20.89,2.9056,1.3499,1.529,1306.71,448.04,454.39,1.9386,19.77,3.2722,31.7,31.7,0.0254,0.0254,77.61,65.25,53.65,77.64,64.71,77.46,37.85,58.17,68.63
218,2.0456,3.0417,26.6,2.089,1290.49,926.23,457.98,450.44,20.67,3.0417,926.23,457.98,116,107,2.3647,1.5661,1.9725,2.4432,1.1475,453.21,0.3318,20.9,0.2209,2.0705,1.9725,926.23,457.98,450.44,2.2657,18.43,3.0417,26.6,26.6,2.089,2.089,68.5,75.01,32.1,76.4,47.11,72.17,50.53,55.21,46.22
219,1.5072,3.1404,37,2.495,1349.76,1189.81,455.65,442.45,18.14,3.1404,1189.81,455.65,117,107,1.8115,1.9478,1.7878,2.1224,1.3048,458.47,0.2239,18.94,2.2204,1.6306,1.7878,1189.81,455.65,442.45,2.4306,21.9,3.1404,37,37,2.495,2.495,75.38,62.96,58.96,69.9,76.53,79.82,40.27,55.28,44.91
220,2.0017,3.2046,10.5,1.0041,972.87,1113.54,448.57,448.95,20.02,3.2046,1113.54,448.57,118,107,1.5095,1.7978,1.8192,2.1811,0.4159,448.56,0.5143,18.34,2.1469,1.4607,1.8192,1113.54,448.57,448.95,1.721,18.86,3.2046,10.5,10.5,1.0041,1.0041,78.03,42.62,59.58,66.87,35.77,43.82,72.02,36.29,78.38
221,2.2941,2.8204,45.4,0.3973,866.63,1113.45,449.24,455.69,19.37,2.8204,1113.45,449.24,119,107,1.9919,1.7462,2.2249,1.5115,1.6887,458.13,1.0198,20.77,0.0512,2.0623,2.2249,1113.45,449.24,455.69,0.9762,18.83,2.8204,45.4,45.4,0.3973,0.3973,63.35,79.44,38.4,52.37,33.53,57.54,73.85,54.22,38.03
222,1.8759,2.8915,29.1,2.1453,1012.28,929.58,456.31,452.06,19.48,2.8915,929.58,456.31,120,107,1.9734,2.3442,1.581,1.7124,0.0847,440.35,0.678,18.04,1.9879,0.4713,1.581,929.58,456.31,452.06,1.2394,18.57,2.8915,29.1,29.1,2.1453,2.1453,43.93,33.89,58.67,31.07,66.68,57.13,79.88,65,78.28
223,2.3254,3.4164,10.3,0.1661,1336.35,1109.8,443.03,457.53,20.82,3.4164,1109.8,443.03,121,107,1.635,2.4297,1.8238,1.7181,1.0072,453.86,0.6922,19.9,1.0513,1.0432,1.8238,1109.8,443.03,457.53,1.3216,21.89,3.4164,10.3,10.3,0.1661,0.1661,32.28,38.17,56.39,57.7,47.8,77.02,34.79,79.16,68.38
224,2.1468,3.0865,49.7,1.6639,1268.39,1201.04,456.33,443.72,20.45,3.0865,1201.04,456.33,122,107,2.005,1.7012,1.8813,1.8637,0.4834,441.1,1.873,19.15,0.9175,2.4752,1.8813,1201.04,456.33,443.72,0.3823,19.68,3.0865,49.7,49.7,1.6639,1.6639,57.66,45.85,43.18,63.64,38.47,78.77,66.3,45.62,43.46
225,2.0837,3.0394,16.8,0.7823,1182.85,1326.58,446.56,454.56,19.41,3.0394,1326.58,446.56,123,107,2.1159,2.0796,2.2544,2.3339,1.0801,446.68,2.8129,19.81,1.1308,1.1698,2.2544,1326.58,446.56,454.56,1.8532,18.41,3.0394,16.8,16.8,0.7823,0.7823,62.17,57.77,75.34,78.14,71.77,63.21,46.93,34.27,52.98
226,1.8154,3.2651,30,1.8867,1084.6,1166.07,450.3,447.14,19.73,3.2651,1166.07,450.3,124,107,1.9531,1.6722,1.8139,1.7069,0.2595,443.99,1.4778,20.9,1.6473,0.9279,1.8139,1166.07,450.3,447.14,1.7728,20.12,3.2651,30,30,1.8867,1.8867,68.57,79.31,48.91,67.62,52.15,77.51,55.8,75.75,40.11
227,1.6598,2.9209,36.7,2.1588,989.04,853.01,450.95,440.43,19.87,2.9209,853.01,450.95,125,107,2.0143,1.9011,1.8043,1.5363,2.0802,458.43,0.2908,20.39,1.8443,0.6513,1.8043,853.01,450.95,440.43,1.3718,18.71,2.9209,36.7,36.7,2.1588,2.1588,62.92,33.52,74.32,38.34,75.19,42.78,40.57,37.05,40.8
228,2.4617,3.4039,34.4,2.4045,840.25,1062.13,444.2,456.47,20.59,3.4039,1062.13,444.2,126,107,1.5169,2.3677,1.7937,1.5724,1.6818,443.68,0.9651,20.12,2.6029,1.9529,1.7937,1062.13,444.2,456.47,2.9556,20.04,3.4039,34.4,34.4,2.4045,2.4045,73.34,41.41,67.24,33.12,35.58,57.91,53.91,50.87,66.73
229,2.1127,3.4333,17.9,2.0638,1361.67,1108.04,454.32,440.34,18.98,3.4333,1108.04,454.32,127,107,1.5661,2.4096,2.1624,2.2839,0.5016,455.37,2.6881,18.2,1.59,2.8805,2.1624,1108.04,454.32,440.34,2.7695,20.25,3.4333,17.9,17.9,2.0638,2.0638,62.46,32.68,69.54,72.33,77.05,57.44,36.28,30.42,36.8
230,2.1588,3.3574,43.2,2.2977,1348.51,1351.38,459.7,453.64,18.47,3.3574,1351.38,459.7,128,107,1.9676,1.8441,1.709,2.2388,2.3528,441.29,0.7438,20.83,0.2033,2.0388,1.709,1351.38,459.7,453.64,1.3144,21.8,3.3574,43.2,43.2,2.2977,2.2977,60.88,51.36,60.69,61.63,37.31,44.72,60.99,30.19,48.47
231,1.9398,3.2775,10.9,2.8567,861.42,1026.15,446.95,452.97,20.85,3.2775,1026.15,446.95,129,107,1.9937,2.0689,2.4441,1.7158,1.4589,458.75,2.7267,19.89,0.7302,1.9486,2.4441,1026.15,446.95,452.97,1.7008,18.68,3.2775,10.9,10.9,2.8567,2.8567,38.06,31.28,40.58,39.96,46.86,77,36.17,32.67,74.97
232,2.1645,3.3958,24,0.2718,926.45,1013.72,457.99,455.42,18.99,3.3958,1013.72,457.99,130,107,2.0489,2.4795,2.2031,2.4486,0.0234,444.72,1.3615,21.39,1.4982,1.2653,2.2031,1013.72,457.99,455.42,0.0909,19.21,3.3958,24,24,0.2718,0.2718,62.63,38.86,44.91,51.71,37.95,68.48,48.98,35.34,62.96
233,2.1062,2.8888,27.4,0.1712,1195.08,1205.01,449.06,443.57,18.21,2.8888,1205.01,449.06,131,107,1.7425,2.1532,1.8341,1.9852,0.1932,457.47,1.3116,20.2,0.5181,0.9101,1.8341,1205.01,449.06,443.57,1.1024,18.57,2.8888,27.4,27.4,0.1712,0.1712,56.99,54.54,55.53,50.22,58.55,53.75,47.93,72.34,45.63
234,1.7487,2.8959,22.8,0.5297,823.37,1393.7,445.5,457.56,21.94,2.8959,1393.7,445.5,132,107,2.3316,1.8088,2.2826,1.6395,1.8471,440.46,0.7198,21.36,1.2134,2.0113,2.2826,1393.7,445.5,457.56,0.2173,18.53,2.8959,22.8,22.8,0.5297,0.5297,65.86,33.1,60.48,68.91,38.99,51.75,53.88,37.03,62.01
235,2.1357,2.8062,19.1,0.7955,1288.1,1144.02,454.94,459.05,21.17,2.8062,1144.02,454.94,133,107,1.7912,2.3613,1.5581,1.8969,1.6737,451.02,2.8778,18.76,0.9316,1.7982,1.5581,1144.02,454.94,459.05,0.3149,20.94,2.8062,19.1,19.1,0.7955,0.7955,66.44,48.9,38.01,36.35,36.75,52.25,68.3,40.42,63.44
236,1.5196,2.8302,23.5,0.6539,809.49,1180.74,440.81,440.2,19.92,2.8302,1180.74,440.81,134,107,2.0143,1.581,2.3993,2.4252,0.5663,444.73,0.4514,19.93,0.9629,1.0443,2.3993,1180.74,440.81,440.2,2.177,19.43,2.8302,23.5,23.5,0.6539,0.6539,78.23,75.63,52.23,71.45,59.1,37.42,52.85,35.88,51.79
237,2.2474,3.2916,35.5,0.7385,941.06,1056.69,449.89,456.01,18.72,3.2916,1056.69,449.89,135,107,1.5017,1.7386,2.4844,1.7728,1.443,455.33,2.3687,18.4,2.013,1.5887,2.4844,1056.69,449.89,456.01,1.5346,21.71,3.2916,35.5,35.5,0.7385,0.7385,40.65,67.5,66.97,48.58,63.58,65.79,49.64,32.23,74.89
238,2.1007,2.8198,27.7,2.5346,835.08,1460.84,440.71,453.71,18.12,2.8198,1460.84,440.71,136,107,2.1265,2.0103,1.9767,2.3082,0.4528,448.41,1.2488,21.94,1.6982,0.8061,1.9767,1460.84,440.71,453.71,2.6236,19.18,2.8198,27.7,27.7,2.5346,2.5346,70.99,44.09,73.84,72.01,65.55,66.81,55.3,36.35,64.73
239,1.8005,3.0998,49.8,2.1997,1052.08,1290.04,442.27,456.61,20.85,3.0998,1290.04,442.27,137,107,1.598,2.2586,1.5281,2.2886,2.7031,442.77,2.9819,19.1,2.3767,1.7859,1.5281,1290.04,442.27,456.61,0.292,18.59,3.0998,49.8,49.8,2.1997,2.1997,76,42.42,39.05,68.79,57.08,58.37,78.11,32.3,76.76
240,1.5765,3.2451,28.2,0.3597,1245.33,880.85,442.34,443.22,20.95,3.2451,880.85,442.34,138,107,1.5756,2.4647,1.9207,1.9083,2.3721,446.49,2.3261,18.15,1.0508,0.9368,1.9207,880.85,442.34,443.22,1.9696,18.02,3.2451,28.2,28.2,0.3597,0.3597,47.28,48.99,59.01,32.66,64.67,64.45,72.26,34.46,69.09
241,1.8559,2.843,41.5,0.2475,1390.73,1010.65,441.17,453.52,21.21,2.843,1010.65,441.17,139,107,1.8469,2.3856,2.1241,1.9881,1.0401,458.43,0.6187,18.17,2.9747,2.1705,2.1241,1010.65,441.17,453.52,0.3794,19.24,2.843,41.5,41.5,0.2475,0.2475,57.73,77.37,74.53,30.37,49.54,68.24,62.67,43.69,62.87
242,2.0186,2.9285,47.1,2.4025,1305.02,1232.01,446.21,450.21,21,2.9285,1232.01,446.21,140,107,1.9046,1.5367,1.5997,1.6508,2.5885,445.07,0.7865,20.91,1.485,0.596,1.5997,1232.01,446.21,450.21,2.9193,18.7,2.9285,47.1,47.1,2.4025,2.4025,31.31,62.22,61.86,36.02,41.2,38.23,55.94,71.62,35.72
243,2.0983,3.3931,33.2,2.173,1081.91,1133.18,450.15,458.46,21.81,3.3931,1133.18,450.15,141,107,1.924,1.5004,2.3903,1.6733,2.4726,452.08,0.3365,19.41,2.1866,2.5352,2.3903,1133.18,450.15,458.46,1.8389,20.18,3.3931,33.2,33.2,2.173,2.173,57.65,37.02,45.08,57.52,59.94,47.32,39.84,45.22,79.81
244,2.4522,2.8691,20.2,2.7142,1425.9,1228.61,441.44,453.99,21.67,2.8691,1228.61,441.44,142,107,1.8422,2.2375,2.2848,2.4548,1.218,446.19,1.0361,20.59,0.843,0.3376,2.2848,1228.61,441.44,453.99,2.8623,21.7,2.8691,20.2,20.2,2.7142,2.7142,43.08,78.33,60.66,32.17,40.77,32.02,33.22,66.1,44.42
245,2.3089,3.3343,23.1,0.1352,945.14,872,454.91,451.56,20.43,3.3343,872,454.91,143,107,1.6465,2.1791,1.9292,2.1188,0.1845,459.63,1.8431,20.96,0.673,1.8309,1.9292,872,454.91,451.56,0.143,18.4,3.3343,23.1,23.1,0.1352,0.1352,71.87,68.14,53.4,50.52,44.7,61.06,37.5,62.45,58.38
246,2.209,3.4352,47,0.5594,1284.01,1286.65,451.61,440.52,18.73,3.4352,1286.65,451.61,144,107,1.6586,1.5341,2.1542,2.1261,2.339,443.37,0.9483,19.46,0.5631,0.2831,2.1542,1286.65,451.61,440.52,2.3656,19.67,3.4352,47,47,0.5594,0.5594,70.58,52.91,72.73,38.76,73.59,34.18,33.48,44.21,72.11
247,2.4699,3.1856,49.4,0.6392,835.14,1306.42,440.52,456.03,19.5,3.1856,1306.42,440.52,145,107,2.1848,1.569,1.7036,1.7944,2.5622,454.16,2.0462,18.51,0.496,0.0734,1.7036,1306.42,440.52,456.03,2.9881,19.2,3.1856,49.4,49.4,0.6392,0.6392,39.45,32.24,52.63,41.77,30.92,57.69,52.98,64.6,62.56
248,2.2253,3.0142,24.2,1.0266,962.07,1230.01,452.96,451.37,19.99,3.0142,1230.01,452.96,146,107,2.3876,2.2397,2.2911,2.0573,2.772,441.37,1.6664,19.56,0.697,2.3716,2.2911,1230.01,452.96,451.37,1.2638,18.33,3.0142,24.2,24.2,1.0266,1.0266,37.51,32.61,36.31,57.74,45.2,75.49,72.04,53.92,64.36
249,1.5198,3.1274,29.6,1.268,1243.22,1195.36,446.64,440.81,19.17,3.1274,1195.36,446.64,147,107,2.1066,1.8325,2.3693,1.9142,2.9688,453.3,0.7966,20.33,2.1877,1.6301,2.3693,1195.36,446.64,440.81,1.8948,21.11,3.1274,29.6,29.6,1.268,1.268,40.61,47.19,79.47,55.19,44.63,80,50.02,40.66,52.83
250,1.6565,3.1807,35.3,0.6453,926.57,1285.48,445.24,450.28,21.22,3.1807,1285.48,445.24,148,107,1.6891,1.933,1.6838,1.7604,1.5348,455.39,0.2697,20.62,2.3633,1.3354,1.6838,1285.48,445.24,450.28,2.5642,19.7,3.1807,35.3,35.3,0.6453,0.6453,56.71,43.19,46.13,71.42,49.61,31.98,57.75,74.05,55.65
251,1.6852,3.1139,42.4,2.8268,1378.25,1493.03,441.81,440.46,20.15,3.1139,1493.03,441.81,149,107,2.0977,2.475,2.101,1.7443,1.7764,445.13,0.7841,20.43,0.3795,0.7003,2.101,1493.03,441.81,440.46,2.0772,21.74,3.1139,42.4,42.4,2.8268,2.8268,32.28,50.68,64.83,74.77,61.37,78.55,51.78,37.78,77.76
252,2.2185,3.2274,17.8,2.3247,911.95,841.29,448.01,459.33,19.57,3.2274,841.29,448.01,150,107,1.5394,1.6324,1.7396,1.7803,0.8981,449.65,1.7623,20.2,0.6869,1.0588,1.7396,841.29,448.01,459.33,0.5359,20.94,3.2274,17.8,17.8,2.3247,2.3247,69.6,36.89,47.45,33.57,65.27,47.01,52.99,71.43,30.92
253,1.5365,3.4644,25.4,2.8361,889.9,1163.69,451.56,451.29,20.27,3.4644,1163.69,451.56,151,107,2.4895,1.9611,1.7627,1.5454,0.4794,459.18,2.5211,19.66,2.9135,0.7097,1.7627,1163.69,451.56,451.29,0.0345,20.65,3.4644,25.4,25.4,2.8361,2.8361,78.36,57.02,59.94,54.28,55.85,56.34,73.42,68.64,64.15
254,2.1384,3.1779,24,0.6312,1288.08,833.08,459.18,443.64,20.06,3.1779,833.08,459.18,152,107,1.6482,1.5854,1.9369,1.986,0.2413,454.24,0.1062,20.13,0.4028,0.9531,1.9369,833.08,459.18,443.64,1.191,18.35,3.1779,24,24,0.6312,0.6312,47.51,40.44,51.56,41.11,64.59,77.24,75.71,77.84,56.71
255,2.4531,3.1487,32.5,2.2753,1326.51,1395.5,440.68,459.01,21.17,3.1487,1395.5,440.68,153,107,2.0993,1.8387,1.8198,1.8517,1.3716,455.96,0.6934,18.65,2.0214,0.2289,1.8198,1395.5,440.68,459.01,0.9864,21.41,3.1487,32.5,32.5,2.2753,2.2753,54.92,56.22,46.3,42.3,32.69,47.2,32.37,73.37,45.35
256,2.1559,3.0972,38.6,0.2585,1221.8,896.38,443.61,447.31,21.48,3.0972,896.38,443.61,103,108,2.2466,2.0078,1.5807,1.515,0.0229,458.08,2.756,18.85,1.6781,1.4867,1.5807,896.38,443.61,447.31,0.4636,21.92,3.0972,38.6,38.6,0.2585,0.2585,62.58,40.46,40.22,79.39,56.01,43.05,73.86,64.04,58.98
257,2.1937,2.9122,12.2,2.1048,1026.45,934.89,450.36,442.54,19.79,2.9122,934.89,450.36,104,108,2.3761,2.3656,2.4344,1.8689,2.1789,447.9,0.6297,18.28,0.6456,1.8628,2.4344,934.89,450.36,442.54,2.8151,18.73,2.9122,12.2,12.2,2.1048,2.1048,69.53,64.46,66.86,60.73,64.57,35.2,40.91,46.28,76.94
258,2.1451,3.3074,26.4,2.9585,1415.76,1033.21,457.21,441.56,18.98,3.3074,1033.21,457.21,105,108,1.6862,2.1681,2.1245,2.219,0.9056,447.88,2.4286,18.65,2.4142,0.9314,2.1245,1033.21,457.21,441.56,1.0675,20.9,3.3074,26.4,26.4,2.9585,2.9585,44.88,33.47,42.65,41.89,77.42,63.43,38.07,75.96,53.81
259,1.7696,2.9747,22.1,1.9113,928.9,929.32,448.39,445.57,19.04,2.9747,929.32,448.39,106,108,1.7549,2.3088,2.2183,1.6208,1.5438,453.32,2.6849,18.69,1.9878,0.8361,2.2183,929.32,448.39,445.57,0.4163,18.15,2.9747,22.1,22.1,1.9113,1.9113,69.56,56.14,60.83,47.38,59.19,47.42,69.95,69.02,69.65
260,1.8957,3.271,17.8,1.9466,993.38,1205.84,441.07,458.1,19.54,3.271,1205.84,441.07,107,108,1.5645,2.0094,1.9252,1.5654,1.1271,450.27,1.7753,18.62,2.7359,0.6065,1.9252,1205.84,441.07,458.1,0.1616,21.23,3.271,17.8,17.8,1.9466,1.9466,47,51.8,55.75,31.19,62.18,33.99,61.24,38.77,37.53
261,2.2652,3.3656,46.6,2.638,1388.8,891.3,446.47,444.13,18.56,3.3656,891.3,446.47,108,108,2.0724,2.4442,1.9465,2.4465,0.7821,442.43,2.7923,20.04,1.8473,1.7682,1.9465,891.3,446.47,444.13,0.2638,20.76,3.3656,46.6,46.6,2.638,2.638,79.99,79.07,40.58,35.63,59.88,77.41,31.34,56.93,51.74
262,2.3973,3.206,23.1,0.9359,1252.58,1217.7,446.82,454.46,21.03,3.206,1217.7,446.82,109,108,1.8389,2.2625,2.1748,2.0886,0.7769,440.58,2.1229,18.71,2.1602,1.5985,2.1748,1217.7,446.82,454.46,1.9257,21.36,3.206,23.1,23.1,0.9359,0.9359,74.01,63.24,61.35,79.26,38.2,75.59,37.54,50.21,30.07
263,1.6395,2.829,35.3,1.1234,1127.51,1244.77,447.64,443.93,19.24,2.829,1244.77,447.64,110,108,2.1278,1.9044,2.1999,1.9462,1.6457,459.16,1.6053,21.73,0.0277,2.6207,2.1999,1244.77,447.64,443.93,0.9674,18.47,2.829,35.3,35.3,1.1234,1.1234,62.73,76.05,32.33,52.5,44.48,53.88,37.69,53.44,76.12
264,2.321,3.0947,38.7,1.1423,1351.9,1313.6,457.22,444.61,18.3,3.0947,1313.6,457.22,111,108,1.6065,2.2297,2.1296,1.9901,2.1025,453.24,0.1374,20.8,1.9937,1.6045,2.1296,1313.6,457.22,444.61,1.741,19.71,3.0947,38.7,38.7,1.1423,1.1423,76.09,75.99,63.67,77.72,46.37,68.42,75.37,66.28,71.12
265,2.2472,3.2593,30.3,0.5037,1186.31,889.63,441.62,443.67,21.15,3.2593,889.63,441.62,112,108,2.2859,1.7808,2.4548,1.615,1.6527,456.73,0.559,21.44,1.2302,2.9795,2.4548,889.63,441.62,443.67,2.9701,21.02,3.2593,30.3,30.3,0.5037,0.5037,35.47,36.58,60.01,61.29,39.18,32.21,48.26,56.33,44.85
266,2.4543,3.2866,30.5,0.4997,1315.61,908.83,455.79,443.36,19.3,3.2866,908.83,455.79,113,108,2.3321,1.6833,2.279,1.7165,1.6746,453.83,1.487,18.48,2.2057,1.5572,2.279,908.83,455.79,443.36,2.3653,19.24,3.2866,30.5,30.5,0.4997,0.4997,60.32,41.86,54.36,75.53,66.22,49.19,59.55,38.99,59.49
267,2.182,3.206,18.4,0.0669,1121.02,1359.05,453.28,455.92,21.75,3.206,1359.05,453.28,114,108,2.4149,1.7183,1.9979,1.5261,2.6395,448.57,0.3629,19.07,1.2297,2.1431,1.9979,1359.05,453.28,455.92,0.4451,20.28,3.206,18.4,18.4,0.0669,0.0669,41.1,79.64,78.89,77.86,48.19,38.77,74.2,79.14,65.3
268,1.9718,3.3945,38.8,0.8339,906.61,1320.85,458.74,453.56,21.62,3.3945,1320.85,458.74,115,108,1.5705,1.9897,2.2811,2.3092,2.3046,456.83,2.2854,18.7,2.0235,1.4512,2.2811,1320.85,458.74,453.56,2.3867,18.47,3.3945,38.8,38.8,0.8339,0.8339,31.59,59.03,44.51,79.23,30.18,36.21,57.53,77.05,42.84
269,2.4368,3.4726,29.8,1.0796,1367.55,1024.45,452.45,440.46,18.89,3.4726,1024.45,452.45,116,108,1.5443,2.1385,1.9431,2.4881,0.2684,456.01,2.6985,18.28,1.7733,2.3386,1.9431,1024.45,452.45,440.46,2.8799,20.31,3.4726,29.8,29.8,1.0796,1.0796,73.35,76.72,57.49,48.24,76.2,67.26,31.3,43.68,54.29
270,2.0292,2.8797,42.6,1.8407,1212.35,1265.08,448.83,444.94,21.96,2.8797,1265.08,448.83,117,108,1.7675,1.5844,2.4404,2.2559,2.5299,441.01,2.3529,18.91,1.443,2.6952,2.4404,1265.08,448.83,444.94,2.822,20.18,2.8797,42.6,42.6,1.8407,1.8407,69.57,51.09,33.52,50.73,38.84,65.55,66.41,75.09,71.48
271,2.0152,3.336,19.1,1.7041,1402.13,1242.12,447.13,450.21,20.49,3.336,1242.12,447.13,118,108,1.6712,2.0399,2.0681,1.7514,2.767,447.36,1.2519,19.46,0.7017,2.3199,2.0681,1242.12,447.13,450.21,1.8464,19.3,3.336,19.1,19.1,1.7041,1.7041,62,68.09,68.15,34.07,76.25,51.14,79.67,73.94,67.66
272,2.0754,2.9269,27.1,2.3361,1296.37,1262.39,452.87,449.81,19.82,2.9269,1262.39,452.87,119,108,1.6171,2.2357,2.0344,1.5478,0.1759,455.34,1.411,21.23,1.9087,1.0942,2.0344,1262.39,452.87,449.81,2.9747,20.3,2.9269,27.1,27.1,2.3361,2.3361,38.26,38.35,49.89,47.31,44,32.9,41.62,58.23,62.82
273,1.759,3.327,32.7,0.0953,1060.88,811.56,459.8,456.71,20.78,3.327,811.56,459.8,120,108,1.7693,1.8902,1.9255,1.6006,0.3892,443.01,1.7155,20.42,0.2404,2.3867,1.9255,811.56,459.8,456.71,1.3222,21.45,3.327,32.7,32.7,0.0953,0.0953,49.99,53.14,59.54,47.45,78.86,36.04,38.76,53.39,75.22
274,2.056,3.1563,35.8,2.4468,1119.7,1334.91,453.87,446.12,19.25,3.1563,1334.91,453.87,121,108,1.6757,1.8625,1.6792,2.3742,2.4598,457.08,2.8222,18.46,1.6898,1.9086,1.6792,1334.91,453.87,446.12,2.9714,20.06,3.1563,35.8,35.8,2.4468,2.4468,44.22,67.02,53.03,44.13,40.58,72.48,33.96,53.63,58.16
275,2.4146,3.0258,37.6,2.4738,1073.76,834.35,444.38,445.51,20.82,3.0258,834.35,444.38,122,108,1.9603,2.3694,1.8739,2.4614,1.709,457.45,1.7405,18.38,1.9846,1.3758,1.8739,834.35,444.38,445.51,1.2851,18.42,3.0258,37.6,37.6,2.4738,2.4738,58.84,54.3,53.37,39.76,36.03,74.07,39.05,73.88,60
276,1.6535,2.8416,35.3,1.2226,1324.61,812.36,441.99,447.87,20.98,2.8416,812.36,441.99,123,108,1.5562,2.4574,1.8674,1.5795,1.1382,442.02,0.4764,20.62,0.7581,0.1707,1.8674,812.36,441.99,447.87,0.1118,18.83,2.8416,35.3,35.3,1.2226,1.2226,34.02,62.71,30.56,32.35,65.41,49.93,66.92,54.58,38.27
277,1.7222,3.0805,23,2.3591,1301.47,1127.05,443.95,455.5,20.46,3.0805,1127.05,443.95,124,108,2.2955,2.2667,1.7957,2.1803,2.6963,444.51,1.6841,21.84,2.9736,1.8054,1.7957,1127.05,443.95,455.5,2.1654,18.38,3.0805,23,23,2.3591,2.3591,59.61,74.53,76.35,32.12,57.55,50.29,49.27,61.54,69.08
278,2.178,3.0872,25.1,1.5312,1084.25,1089.97,440.73,455.25,21.31,3.0872,1089.97,440.73,125,108,1.691,2.0448,2.4228,2.3577,1.3914,458.8,2.6647,19.68,1.4452,0.3199,2.4228,1089.97,440.73,455.25,1.229,18.21,3.0872,25.1,25.1,1.5312,1.5312,43.12,53.64,64.82,76.1,53.27,75.17,71.33,78.17,54.1
279,2.416,3.0245,32.5,1.0124,1362.54,1392.51,456.39,446.79,20.74,3.0245,1392.51,456.39,126,108,2.3018,2.1633,2.1471,1.7304,0.4152,458.88,1.9439,19.17,1.3079,2.4793,2.1471,1392.51,456.39,446.79,1.3267,19.94,3.0245,32.5,32.5,1.0124,1.0124,66.94,39.84,75.78,64.04,45.08,50.69,30.64,72.36,64.92
280,1.9235,3.0814,28.3,2.4063,1491.71,1419.37,451.51,454.27,21.6,3.0814,1419.37,451.51,127,108,2.2459,1.8559,1.6767,1.6833,0.4771,443.74,1.2415,18.77,0.0492,1.9336,1.6767,1419.37,451.51,454.27,1.4584,21.25,3.0814,28.3,28.3,2.4063,2.4063,70.59,67.57,31.18,76.23,70.73,74.67,34.49,48.66,56.45
281,1.535,2.8077,33.7,1.0763,817.39,1241.68,459.2,452.34,21.48,2.8077,1241.68,459.2,128,108,1.5693,1.925,1.5717,2.1433,0.0639,444.59,2.9895,18.39,1.5024,0.238,1.5717,1241.68,459.2,452.34,0.7403,18.03,2.8077,33.7,33.7,1.0763,1.0763,49.42,72.96,51.56,78.2,66.6,45.26,64.34,56.16,49.03
282,1.9795,3.074,48.6,1.2417,1305.58,1294.33,456.09,451.66,20.28,3.074,1294.33,456.09,129,108,2.1765,2.1862,2.1239,1.6369,2.2384,455.62,0.7121,21.99,2.1489,1.0053,2.1239,1294.33,456.09,451.66,0.3966,19.74,3.074,48.6,48.6,1.2417,1.2417,78.68,38.26,59.83,65.57,31.26,32.43,36.23,43.96,59.57
283,1.9226,3.278,18.1,2.3602,882.32,835.11,456.56,453.54,18.08,3.278,835.11,456.56,130,108,2.2958,2.0756,2.3825,1.706,2.6097,443.23,2.5527,19.5,1.1684,2.6858,2.3825,835.11,456.56,453.54,1.9977,20.48,3.278,18.1,18.1,2.3602,2.3602,39.97,30.45,56.86,79.31,60.07,59.88,64.86,39.73,70.63
284,2.4809,3.1447,40.3,0.8081,913.81,803.13,449,452.36,18.46,3.1447,803.13,449,131,108,1.7628,1.6734,2.1981,1.7486,0.1705,456.83,1.2048,19.2,2.1964,0.1505,2.1981,803.13,449,452.36,2.6499,21.91,3.1447,40.3,40.3,0.8081,0.8081,39.58,55.3,36.58,49.59,76.84,46.04,47.72,47.63,41.1
285,1.8088,3.0983,32.7,2.2532,1296.03,1030.62,452.83,459.41,21.01,3.0983,1030.62,452.83,132,108,2.2649,1.6009,2.3991,2.3601,2.6885,440.76,0.3345,20.29,0.1763,2.8408,2.3991,1030.62,452.83,459.41,2.462,18.73,3.0983,32.7,32.7,2.2532,2.2532,60.89,69.3,46.31,60.83,35.8,43.53,32.01,37.43,32.85
